poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,yes,no,alternate_answers
87363,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,7/7/24,7/9/24,,"",,202533,1620,a,,a,,7/10/24 10:16,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_fWHOrrW.pdf,"",,,11.0,62.0,27.0
87363,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,7/7/24,7/9/24,,"",,202534,1443,rv,,rv,,7/10/24 10:16,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_RptTnGc.pdf,"",,,12.0,67.0,21.0
87300,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/30/24,7/2/24,,"",,201989,1608,a,,a,,7/3/24 09:41,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_1ZQDEgl.pdf,"",,,13.0,61.0,27.0
87300,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/30/24,7/2/24,,"",,201990,1392,rv,,rv,,7/3/24 09:41,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_xTDr4ON.pdf,"",,,13.0,66.0,21.0
87286,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,1.6,-0.1,Online Panel,7.0,,6/28/24,6/30/24,,"",,201841,2090,rv,,rv,,7/1/24 22:12,"",https://harvardharrispoll.com/wp-content/uploads/2024/07/HHP_June2024_KeyResults.pdf,"",,,26.0,62.0,11.0
87304,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.6,-0.1,Online Panel,6.0,,6/28/24,6/30/24,,"",,202027,1500,rv,,rv,,7/3/24 20:42,"",https://www.harrisx.com/posts/voters-speak-the-winner-of-the-first-presidential-debate-is-trump,"",,,31.0,61.0,8.0
87244,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/23/24,6/25/24,,"",,201428,1599,a,,a,,6/26/24 10:46,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_8Xhha4w.pdf,"",,,13.0,60.0,28.0
87244,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/23/24,6/25/24,,"",,201429,1406,rv,,rv,,6/26/24 10:46,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_DqmBE9q.pdf,"",,,14.0,64.0,21.0
87378,921,Clarity,"","",Clarity Campaign Labs,52,Clarity Campaign Labs,1.6,-0.2,Online Panel,1.0,,6/13/24,6/20/24,,"",,202760,1002,lv,,lv,,7/12/24 10:03,"",https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/66904c24ca9c6127f7534771/1720732709774/%5BALL%5D+Clarity+Omnibus+Overview+-+June+2024.pdf,"",,,21.0,61.0,17.0
87204,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/16/24,6/18/24,,"",,201215,1600,a,,a,,6/20/24 09:33,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_hoa7Ul9.pdf,"",,,13.0,59.0,27.0
87204,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/16/24,6/18/24,,"",,201216,1396,rv,,rv,,6/20/24 09:33,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_BAWCOh6.pdf,"",,,16.0,64.0,20.0
87150,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/9/24,6/11/24,,"",,200748,1595,a,,a,,6/12/24 10:54,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_MbPLbQp.pdf,"",,,13.0,58.0,29.0
87150,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/9/24,6/11/24,,"",,200749,1399,rv,,rv,,6/12/24 10:54,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_maqVHQt.pdf,"",,,13.0,65.0,21.0
87154,320,Monmouth,"","",Monmouth University Polling Institute,215,Monmouth University Polling Institute,2.9,-0.9,Live Phone,9.0,,6/6/24,6/10/24,,"",,200810,1106,a,,a,,6/12/24 11:26,"",https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_061224/,"",,,14.0,82.0,4.0
87154,320,Monmouth,"","",Monmouth University Polling Institute,215,Monmouth University Polling Institute,2.9,-0.9,Live Phone,9.0,,6/6/24,6/10/24,,"",,200811,1034,rv,,rv,,6/12/24 11:26,"",https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_061224/,"",,,14.0,82.0,4.0
87102,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/2/24,6/4/24,,"",,200442,1766,a,,a,,6/5/24 10:14,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_x5cabBL.pdf,"",,,12.0,59.0,29.0
87102,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/2/24,6/4/24,,"",,200443,1566,rv,,rv,,6/5/24 10:14,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_b6cGJcE.pdf,"",,,12.0,66.0,22.0
87149,217,High Point University,"","",High Point University Survey Research Center,139,High Point University Survey Research Center,2.5,-0.4,Online Panel,8.0,,5/22/24,5/29/24,,"",,200732,1000,a,,a,,6/11/24 19:09,"",https://www.highpoint.edu/src/files/2023/08/104memo.pdf,"",,,23.0,60.0,17.0
87149,217,High Point University,"","",High Point University Survey Research Center,139,High Point University Survey Research Center,2.5,-0.4,Online Panel,8.0,,5/22/24,5/29/24,,"",,200733,850,rv,,rv,,6/11/24 19:09,"",https://www.highpoint.edu/src/files/2023/08/104memo.pdf,"",,,25.0,61.0,14.0
87051,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,5/25/24,5/28/24,,"",,200180,1748,a,,a,,5/29/24 10:05,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_pqZR1wO.pdf,"",,,11.0,61.0,27.0
87051,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,5/25/24,5/28/24,,"",,200181,1547,rv,,rv,,5/29/24 10:05,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_5ePXwWM.pdf,"",,,11.0,66.0,23.0
87046,169,Gallup,"","",Gallup,112,Gallup,2.5,-0.4,Live Phone,10.0,,5/1/24,5/23/24,,"",,200124,1024,a,,a,,5/28/24 20:17,"",https://news.gallup.com/poll/645413/biden-congress-approval-ratings-persistently-low.aspx?utm_source=alert&utm_medium=email&utm_content=morelink&utm_campaign=syndication,"",,,13.0,81.0,6.0
86985,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,5/19/24,5/21/24,,"",,199574,1784,a,,a,,5/22/24 11:37,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_s4KUtSf.pdf,"",,,11.0,62.0,27.0
86985,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,5/19/24,5/21/24,,"",,199575,1560,rv,,rv,,5/22/24 11:37,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_9aJ08Ik.pdf,"",,,13.0,66.0,22.0
86984,1697,Bullfinch,"","",The Bullfinch Group,692,The Bullfinch Group,,,Online Panel,4.0,,5/16/24,5/21/24,,"",,199519,1200,a,,a,,5/21/24 16:43,"",https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q2-nationwide-survey-2,"",,,27.0,62.0,11.0
