poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
87380,1001,North Star Opinion Research,1457,Center for American Greatness,North Star Opinion Research,233,North Star Opinion Research,1.2,0.2,Live Phone,3.0,Wisconsin,7/6/24,7/10/24,,"",,,,,202818,600,lv,,lv,,7/12/24 12:06,"",https://amgreatness.com/2024/07/12/battleground-poll-trump-leads-a-tight-race-in-wisconsin/,"",,,9534,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Baldwin,31019,Tammy Baldwin,49.0
87380,1001,North Star Opinion Research,1457,Center for American Greatness,North Star Opinion Research,233,North Star Opinion Research,1.2,0.2,Live Phone,3.0,Wisconsin,7/6/24,7/10/24,,"",,,,,202818,600,lv,,lv,,7/12/24 12:06,"",https://amgreatness.com/2024/07/12/battleground-poll-trump-leads-a-tight-race-in-wisconsin/,"",,,9534,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Hovde,31201,Eric D Hovde,41.0
87325,1878,SoCal Research,2152,On Point Politics,SoCal Research,851,SoCal Research,,,Online Panel,8.0,Wisconsin,6/30/24,7/2/24,,"",,,,,202351,490,rv,,rv,,7/7/24 13:25,"",https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fprojects.fivethirtyeight.com%2Fpolls%2F20240707_WI_SoCalResearchtabs.xlsx&wdOrigin=BROWSELINK,"",,,9534,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Baldwin,31019,Tammy Baldwin,50.0
87325,1878,SoCal Research,2152,On Point Politics,SoCal Research,851,SoCal Research,,,Online Panel,8.0,Wisconsin,6/30/24,7/2/24,,"",,,,,202351,490,rv,,rv,,7/7/24 13:25,"",https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fprojects.fivethirtyeight.com%2Fpolls%2F20240707_WI_SoCalResearchtabs.xlsx&wdOrigin=BROWSELINK,"",,,9534,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Hovde,31201,Eric D Hovde,38.0
87360,1699,Fabrizio/Impact,42,AARP,"Fabrizio, Lee & Associates/Impact Research",694,Fabrizio Lee & Associates/Impact Research,1.7,-0.3,Live Phone/Text-to-Web,2.0,Wisconsin,6/28/24,7/2/24,,"",,,,,202449,600,lv,,lv,,7/9/24 10:20,"",https://www.aarp.org/pri/topics/voter-research/politics/wisconsin-older-voter-survey-2024/,"",,,9534,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Baldwin,31019,Tammy Baldwin,50.0
87360,1699,Fabrizio/Impact,42,AARP,"Fabrizio, Lee & Associates/Impact Research",694,Fabrizio Lee & Associates/Impact Research,1.7,-0.3,Live Phone/Text-to-Web,2.0,Wisconsin,6/28/24,7/2/24,,"",,,,,202449,600,lv,,lv,,7/9/24 10:20,"",https://www.aarp.org/pri/topics/voter-research/politics/wisconsin-older-voter-survey-2024/,"",,,9534,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Hovde,31201,Eric D Hovde,45.0
87326,1056,Remington,2153,American Fuel & Petrochemical Manufacturers,Remington Research Group,279,Remington Research Group,2.6,-0.7,,7.0,Arizona,6/29/24,7/1/24,,"",,,,,202512,638,lv,,lv,,7/10/24 09:40,"",https://www.globenewswire.com/news-release/2024/07/10/2911469/31640/en/Polling-shows-likely-voters-nationally-and-in-battleground-states-solidly-oppose-Biden-Harris-gas-car-ban-and-consider-the-issue-important-for-2024.html,"",,REP,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Gallego,30920,Ruben Gallego,47.0
87326,1056,Remington,2153,American Fuel & Petrochemical Manufacturers,Remington Research Group,279,Remington Research Group,2.6,-0.7,,7.0,Arizona,6/29/24,7/1/24,,"",,,,,202512,638,lv,,lv,,7/10/24 09:40,"",https://www.globenewswire.com/news-release/2024/07/10/2911469/31640/en/Polling-shows-likely-voters-nationally-and-in-battleground-states-solidly-oppose-Biden-Harris-gas-car-ban-and-consider-the-issue-important-for-2024.html,"",,REP,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Lake,30921,Kari Lake,47.0
87327,1056,Remington,2153,American Fuel & Petrochemical Manufacturers,Remington Research Group,279,Remington Research Group,2.6,-0.7,,7.0,Michigan,6/29/24,7/1/24,,"",,,,,202513,584,lv,,lv,,7/10/24 09:44,"",https://www.globenewswire.com/news-release/2024/07/10/2911469/31640/en/Polling-shows-likely-voters-nationally-and-in-battleground-states-solidly-oppose-Biden-Harris-gas-car-ban-and-consider-the-issue-important-for-2024.html,"",,REP,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Slotkin,31025,Elissa Slotkin,47.0
87327,1056,Remington,2153,American Fuel & Petrochemical Manufacturers,Remington Research Group,279,Remington Research Group,2.6,-0.7,,7.0,Michigan,6/29/24,7/1/24,,"",,,,,202513,584,lv,,lv,,7/10/24 09:44,"",https://www.globenewswire.com/news-release/2024/07/10/2911469/31640/en/Polling-shows-likely-voters-nationally-and-in-battleground-states-solidly-oppose-Biden-Harris-gas-car-ban-and-consider-the-issue-important-for-2024.html,"",,REP,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Rogers,31045,Mike Rogers,43.0
